Financial Year,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12,Period 13
2003/04,3257855.297184810973703861236572265625,3425283.2226812727749347686767578125,3859339.870840660296380519866943359375,4127865.8420891123823821544647216796875,4447877.372163339518010616302490234375,4503476.073761492036283016204833984375,4467453.199348567984998226165771484375,5494806.172963154,4123132.027871945,2791978.793663288,3742197.5242673014,3735764.0018662056,4290990.8468022905
2004/05,3844129.5388366170227527618408203125,3342358.36906079016625881195068359375,3507978.9342728420160710811614990234375,5410751.62826804816722869873046875,4089717.6867491821758449077606201171875,2892843.6157147786580026149749755859375,2983460.926080395467579364776611328125,3176543.8801651085,2939043.010684818,2379838.9427872817,2928793.070202557,4080490.733007234,3272562.2991393255
2005/06,3139284.196042795665562152862548828125,4025028.7086243093945086002349853515625,3620727.9952896623872220516204833984375,13232496.810753054916858673095703125,7710007.027888007462024688720703125,4053469.8799921092577278614044189453125,5550097.595094398595392704010009765625,3817616.7510037525,3704432.5785863246,3147906.0542123653,4102229.2612928334,3605636.172958938,3128081.813063355
2006/07,2897441.76419237442314624786376953125,2918580.36305004544556140899658203125,3321016.2317324914038181304931640625,4194887.260454828850924968719482421875,3777135.6306405388750135898590087890625,3557078.3107241098769009113311767578125,3054899.16736340709030628204345703125,3643298.767968318,4637672.567158659,2540301.4791000565,3384482.315570639,4526399.119869275,3214634.4284405913
2007/08,4068427.1354772034101188182830810546875,3631999.6816297085024416446685791015625,3398354.337297515012323856353759765625,4495051.05360092036426067352294921875,3758561.3743840060196816921234130859375,6355311.795739598572254180908203125,3566167.9929427863098680973052978515625,3521698.523910015,3335743.16610978,3114138.227006304,3418314.4010266564,3535056.5954149337,2859022.3750975295
2008/09,2572576.9614030136726796627044677734375,2468131.24234403483569622039794921875,2990677.21945100836455821990966796875,2882415.5718616484664380550384521484375,2743109.3873564586974680423736572265625,2513169.7807714897207915782928466796875,2698635.1273278482258319854736328125,3119029.8340765047,2974712.126353118,1883011.3396026557,2305407.5785776093,4805891.133529083,2659119.137908997
2009/10,2837787.9101757067255675792694091796875,2212772.5383447916246950626373291015625,5509226.675235112197697162628173828125,2406215.6873543118126690387725830078125,2161655.5829659323208034038543701171875,2268771.7822592281736433506011962890625,1890895.9277264918200671672821044921875,2107674.8280041264,2374850.265240287,2651324.122848911,2304045.274514431,2256448.2604999263,2134752.1336662523
2010/11,2286508.0500870873220264911651611328125,1977196.27721242210827767848968505859375,2230848.2982497848570346832275390625,2887023.190000000409781932830810546875,1878587.4499999992549419403076171875,3729806.75,4620135.43000000528991222381591796875,4566896.869999998,4338274.19,3796384.8100000024,2874490.8200000003,2355757.610000001,2004459.1400000006
2011/12,2509353.6000000019557774066925048828125,2322088.780000000260770320892333984375,1929444.7300000004470348358154296875,2300769.4899999997578561305999755859375,2059198.21999999950639903545379638671875,2462085.34999999962747097015380859375,2155101.9399999990127980709075927734375,2054498.6899999997,1989066.3599999999,2043901.29,2073883.6899999997,2604341.45,1997430.9299999995
2012/13,1976895.64000000036321580410003662109375,2398403.1300000003539025783538818359375,2453426.6999999997206032276153564453125,1745716.69000000064261257648468017578125,1728724.21999999997206032276153564453125,1100217.38999999989755451679229736328125,1253384.8100000000558793544769287109375,1656899.1,1726293.9099999992,1461084.34,1831202.0799999998,1709469.3000000007,1815753.6600000001
2013/14,1674459.3399999993853271007537841796875,1332503.120000000111758708953857421875,1534174.3399999998509883880615234375,1838159.3999999999068677425384521484375,1749066.13000000058673322200775146484375,1401638.120000000111758708953857421875,1684079.56999999959953129291534423828125,1932918.5900000005,1731746.68,1420964.1999999997,1522309.9600000004,4932055.700000001,1467235.2000000002
2014/15,1232270.30000000004656612873077392578125,4400900.270000004209578037261962890625,1431678.620000000111758708953857421875,1467460.76000000000931322574615478515625,1528313.4100000001490116119384765625,2111445.06999999098479747772216796875,1787749.73999999999068677425384521484375,1449503.3400000003,1794841.9099999997,1165181.6800000002,1513254.2599999995,1447953.6200000006,1331204.0000000002
2015/16,1679342.91999999922700226306915283203125,1048174.379999999888241291046142578125,1393155.9800000004470348358154296875,4916461.18999999947845935821533203125,5225844.069999999366700649261474609375,1673474.25,1642032.51999999885447323322296142578125,1523639.3500000003,1697719.5300000005,808159.9200000002,1505232.3700000003,1496334.0400000003,1847728.6199999987
2016/17,1431512.59000000008381903171539306640625,1341990.4899999997578561305999755859375,1844777.2299999999813735485076904296875,1881697.34999999986030161380767822265625,1499344.450000000186264514923095703125,1839067.8300000005401670932769775390625,1439261.8900000001303851604461669921875,1664356.9300000006,3761559.99,1837587.9600000004,3792330.4600000004,2228155.009999998,1521988.4500000004
2017/18,1491518,1654994,1965651,1962149,1988405,1686142,1896275,1753397,2002775,1510288,1791711,2203871,2032487
2018/19,2091465,1598525,1846642,1788172,2053380,1306643,2930604,,,,,,
